EmployeeID,StartDate,EndDate,Amount,PaymentType,HourlyRate,MonthlySalary,HoursWorked
440,2021-09-08,2021-09-22,10996.35,monthly,,10996.35,
414,2020-06-03,2020-06-10,9565.19,monthly,,9565.19,
111,2021-07-28,2021-08-11,9143.95,monthly,,9143.95,
129,2021-08-11,2021-08-25,2436.38,hourly,21.9,,111.25
396,2022-11-09,2022-11-16,8719.32,monthly,,8719.32,
282,2020-11-18,2020-11-25,2075.31,hourly,36.25,,57.25
117,2022-05-18,2022-06-01,5566.41,hourly,59.06,,94.25
455,2022-06-29,2022-07-13,4416.34,hourly,35.19,,125.5
310,2022-06-01,2022-06-15,5215.26,hourly,54.61,,95.5
10,2022-10-19,2022-10-26,2952.0,hourly,48.0,,61.5
126,2020-10-21,2020-10-28,2056.32,hourly,32.13,,64.0
217,2022-03-09,2022-03-16,1799.16,hourly,38.28,,47.0
195,2020-04-29,2020-05-06,1446.52,hourly,24.94,,58.0
247,2020-10-21,2020-11-04,7335.77,monthly,,7335.77,
217,2022-12-28,2023-01-04,1979.04,hourly,42.56,,46.5
149,2021-02-10,2021-02-24,3461.43,hourly,37.32,,92.75
119,2021-07-28,2021-08-11,8678.42,monthly,,8678.42,
111,2020-02-26,2020-03-11,9143.95,monthly,,9143.95,
233,2020-04-08,2020-04-22,4060.29,hourly,45.24,,89.75
473,2020-12-16,2020-12-30,10491.94,monthly,,10491.94,
203,2020-12-16,2020-12-23,2415.74,hourly,45.58,,53.0
274,2020-12-23,2020-12-30,9506.13,monthly,,9506.13,
328,2020-04-22,2020-04-29,1459.59,hourly,27.67,,52.75
396,2021-01-20,2021-01-27,8719.32,monthly,,8719.32,
406,2022-06-29,2022-07-13,7130.52,monthly,,7130.52,
149,2021-04-21,2021-05-05,3694.68,hourly,37.32,,99.0
105,2020-11-18,2020-11-25,8594.77,monthly,,8594.77,
41,2020-04-22,2020-05-06,7823.61,monthly,,7823.61,
297,2020-07-22,2020-07-29,1609.25,hourly,31.4,,51.25
117,2021-04-21,2021-05-05,6659.02,hourly,59.06,,112.75
266,2021-11-17,2021-11-24,805.45,hourly,17.8,,45.25
361,2020-01-01,2020-01-15,9124.74,monthly,,9124.74,
242,2020-12-30,2021-01-13,7441.24,hourly,56.48,,131.75
199,2021-02-10,2021-02-17,561.8,hourly,10.6,,53.0
407,2020-07-01,2020-07-15,6365.82,hourly,53.72,,118.5
306,2021-09-08,2021-09-22,9712.66,monthly,,9712.66,
310,2022-08-24,2022-09-07,4901.25,hourly,54.61,,89.75
74,2022-04-06,2022-04-20,9177.8,monthly,,9177.8,
18,2022-09-28,2022-10-05,1698.62,hourly,31.75,,53.5
91,2022-12-28,2023-01-11,4774.11,hourly,51.06,,93.5
433,2022-06-29,2022-07-06,8492.45,monthly,,8492.45,
96,2020-10-14,2020-10-21,1557.0,hourly,31.14,,50.0
86,2022-07-13,2022-07-27,3898.81,hourly,29.15,,133.75
8,2020-09-02,2020-09-09,1276.8,hourly,22.4,,57.0
430,2020-12-30,2021-01-13,4243.33,hourly,43.41,,97.75
48,2022-12-14,2022-12-28,10798.1,monthly,,10798.1,
217,2022-05-25,2022-06-01,2617.44,hourly,42.56,,61.5
430,2022-11-30,2022-12-14,5556.48,hourly,43.41,,128.0
410,2021-03-31,2021-04-07,8185.56,monthly,,8185.56,
152,2020-10-07,2020-10-21,9282.22,monthly,,9282.22,
256,2020-12-02,2020-12-16,2549.89,hourly,26.22,,97.25
83,2020-05-06,2020-05-20,9655.0,monthly,,9655.0,
156,2022-03-09,2022-03-23,6172.74,hourly,51.12,,120.75
486,2021-07-28,2021-08-11,2307.7,hourly,18.8,,122.75
379,2020-11-18,2020-12-02,8379.52,monthly,,8379.52,
46,2022-01-05,2022-01-12,2090.24,hourly,33.85,,61.75
323,2022-12-14,2022-12-21,2543.34,hourly,44.62,,57.0
238,2020-04-08,2020-04-22,2517.97,hourly,27.67,,91.0
444,2020-05-06,2020-05-20,8324.67,monthly,,8324.67,
4,2021-06-02,2021-06-09,1565.85,hourly,28.6,,54.75
154,2020-06-10,2020-06-17,2131.45,hourly,45.11,,47.25
249,2022-12-28,2023-01-11,9005.3,monthly,,9005.3,
307,2021-10-20,2021-11-03,10121.67,monthly,,10121.67,
207,2020-12-02,2020-12-09,2482.24,hourly,40.86,,60.75
199,2021-03-10,2021-03-17,583.0,hourly,10.6,,55.0
226,2020-12-16,2020-12-30,6578.36,hourly,56.71,,116.0
347,2020-10-28,2020-11-04,803.13,hourly,13.33,,60.25
175,2022-08-24,2022-09-07,3651.43,hourly,30.62,,119.25
33,2020-01-01,2020-01-15,4280.93,hourly,32.37,,132.25
310,2021-06-30,2021-07-14,5703.24,hourly,49.81,,114.5
148,2020-08-05,2020-08-12,3410.54,hourly,58.55,,58.25
90,2021-09-22,2021-10-06,3443.5,hourly,28.4,,121.25
450,2022-03-23,2022-04-06,2083.07,hourly,17.18,,121.25
63,2022-02-02,2022-02-09,1493.75,hourly,30.33,,49.25
87,2021-12-01,2021-12-15,7439.49,monthly,,7439.49,
19,2022-02-09,2022-02-16,1425.11,hourly,21.35,,66.75
441,2020-02-19,2020-02-26,2399.0,hourly,47.98,,50.0
413,2021-03-24,2021-04-07,7629.22,monthly,,7629.22,
10,2022-03-09,2022-03-16,2964.0,hourly,48.0,,61.75
117,2020-04-08,2020-04-22,6062.44,hourly,54.25,,111.75
460,2022-02-02,2022-02-09,9889.48,monthly,,9889.48,
452,2021-03-10,2021-03-17,2340.48,hourly,50.88,,46.0
25,2022-05-18,2022-05-25,1552.32,hourly,27.72,,56.0
272,2022-01-12,2022-01-19,9240.21,monthly,,9240.21,
435,2020-08-12,2020-08-26,3864.84,hourly,36.12,,107.0
39,2021-01-13,2021-01-20,1772.9,hourly,28.03,,63.25
183,2020-11-25,2020-12-02,834.84,hourly,13.63,,61.25
499,2021-06-02,2021-06-16,3400.95,hourly,28.7,,118.5
256,2021-03-24,2021-04-07,3369.27,hourly,26.22,,128.5
45,2020-09-23,2020-09-30,9588.0,monthly,,9588.0,
90,2021-06-30,2021-07-14,404.7,hourly,28.4,,14.25
397,2022-09-28,2022-10-05,2225.03,hourly,34.1,,65.25
227,2022-06-01,2022-06-15,4524.54,hourly,43.61,,103.75
214,2021-09-22,2021-10-06,6860.36,monthly,,6860.36,
308,2022-11-02,2022-11-16,4760.73,hourly,37.56,,126.75
187,2020-12-16,2020-12-30,9178.8,monthly,,9178.8,
122,2020-05-20,2020-06-03,8987.02,monthly,,8987.02,
124,2020-05-06,2020-05-20,6073.6,hourly,58.26,,104.25
147,2020-06-03,2020-06-17,8022.83,monthly,,8022.83,
180,2020-03-11,2020-03-18,9750.61,monthly,,9750.61,
271,2022-03-30,2022-04-06,2461.41,hourly,39.07,,63.0
202,2022-02-02,2022-02-09,11112.33,monthly,,11112.33,
37,2021-10-20,2021-11-03,8167.69,hourly,62.23,,131.25
65,2021-03-17,2021-03-24,2834.78,hourly,52.74,,53.75
475,2020-11-04,2020-11-18,3737.19,hourly,41.64,,89.75
235,2021-08-25,2021-09-01,2170.56,hourly,45.22,,48.0
54,2022-09-07,2022-09-21,4234.57,hourly,39.3,,107.75
422,2020-09-23,2020-10-07,3687.36,hourly,29.44,,125.25
130,2021-05-19,2021-06-02,4840.92,hourly,24.48,,197.75
262,2020-10-21,2020-11-04,6625.44,hourly,51.36,,129.0
260,2020-02-05,2020-02-12,9537.88,monthly,,9537.88,
311,2020-05-27,2020-06-03,1846.71,hourly,36.21,,51.0
282,2020-09-23,2020-09-30,1721.88,hourly,36.25,,47.5
338,2020-04-08,2020-04-15,9820.97,monthly,,9820.97,
297,2021-02-17,2021-02-24,1703.45,hourly,31.4,,54.25
230,2020-12-16,2020-12-30,635.48,hourly,5.55,,114.5
350,2021-04-21,2021-04-28,1696.04,hourly,31.12,,54.5
270,2021-05-12,2021-05-19,1677.5,hourly,26.84,,62.5
461,2020-02-26,2020-03-11,7346.47,monthly,,7346.47,
59,2021-11-24,2021-12-01,2264.33,hourly,47.67,,47.5
325,2020-12-30,2021-01-13,3647.77,hourly,33.62,,108.5
272,2020-08-26,2020-09-02,9240.21,monthly,,9240.21,
103,2022-02-23,2022-03-02,2032.85,hourly,37.3,,54.5
321,2021-03-24,2021-04-07,8643.34,monthly,,8643.34,
457,2020-01-29,2020-02-12,2599.35,hourly,22.36,,116.25
149,2022-01-12,2022-01-26,4646.34,hourly,37.32,,124.5
119,2021-01-13,2021-01-27,8678.42,monthly,,8678.42,
64,2020-04-08,2020-04-22,7030.44,hourly,52.96,,132.75
115,2020-07-01,2020-07-15,7161.02,monthly,,7161.02,
67,2021-01-20,2021-01-27,5786.05,monthly,,5786.05,
223,2021-05-05,2021-05-19,7659.79,monthly,,7659.79,
63,2020-09-16,2020-09-23,1683.31,hourly,30.33,,55.5
369,2020-05-13,2020-05-20,2192.82,hourly,38.64,,56.75
84,2022-11-02,2022-11-16,3666.07,hourly,28.81,,127.25
390,2021-06-30,2021-07-14,8035.97,monthly,,8035.97,
292,2020-07-01,2020-07-15,5906.9,monthly,,5906.9,
138,2022-10-12,2022-10-19,3492.67,hourly,65.59,,53.25
363,2020-08-05,2020-08-12,1357.79,hourly,27.43,,49.5
270,2021-10-13,2021-10-20,1362.13,hourly,26.84,,50.75
69,2021-11-03,2021-11-10,435.38,hourly,7.74,,56.25
429,2020-03-11,2020-03-25,6100.74,hourly,47.11,,129.5
265,2022-09-07,2022-09-21,6923.78,monthly,,6923.78,
119,2022-09-07,2022-09-21,8678.42,monthly,,8678.42,
472,2021-03-10,2021-03-17,2688.82,hourly,46.16,,58.25
260,2020-10-07,2020-10-14,9537.88,monthly,,9537.88,
72,2022-01-12,2022-01-26,8341.8,monthly,,8341.8,
65,2020-11-11,2020-11-18,2571.08,hourly,52.74,,48.75
333,2021-03-10,2021-03-24,8478.32,monthly,,8478.32,
316,2020-07-15,2020-07-29,8821.1,monthly,,8821.1,
156,2020-07-15,2020-07-29,5942.7,hourly,51.12,,116.25
338,2020-01-29,2020-02-05,9328.05,monthly,,9328.05,
382,2021-01-20,2021-01-27,3617.93,hourly,66.69,,54.25
301,2020-03-25,2020-04-08,3646.34,hourly,40.18,,90.75
249,2020-10-07,2020-10-21,9005.3,monthly,,9005.3,
457,2020-10-07,2020-10-21,2437.24,hourly,22.36,,109.0
359,2020-12-23,2020-12-30,8598.33,monthly,,8598.33,
60,2020-07-01,2020-07-15,7302.2,monthly,,7302.2,
151,2021-11-03,2021-11-17,7974.82,monthly,,7974.82,
207,2021-01-13,2021-01-20,2696.76,hourly,40.86,,66.0
450,2022-01-12,2022-01-26,1760.95,hourly,17.18,,102.5
490,2021-11-17,2021-11-24,2895.97,hourly,54.9,,52.75
361,2020-02-26,2020-03-11,9124.74,monthly,,9124.74,
67,2020-07-15,2020-07-22,5786.05,monthly,,5786.05,
233,2020-02-26,2020-03-11,5157.36,hourly,45.24,,114.0
238,2022-08-24,2022-09-07,3195.89,hourly,27.67,,115.5
76,2020-11-11,2020-11-18,7808.03,monthly,,7808.03,
345,2020-07-15,2020-07-29,7685.1,monthly,,7685.1,
254,2020-11-18,2020-11-25,2791.33,hourly,31.81,,87.75
350,2021-03-10,2021-03-17,1431.52,hourly,31.12,,46.0
235,2021-12-29,2022-01-05,2713.2,hourly,45.22,,60.0
148,2020-04-29,2020-05-06,3308.07,hourly,58.55,,56.5
115,2021-03-24,2021-04-07,7161.02,monthly,,7161.02,
431,2020-07-08,2020-07-15,2052.4,hourly,36.65,,56.0
10,2022-04-06,2022-04-13,2172.0,hourly,48.0,,45.25
271,2021-07-28,2021-08-04,2285.59,hourly,39.07,,58.5
317,2022-02-09,2022-02-23,3449.69,hourly,20.75,,166.25
210,2021-01-27,2021-02-10,8026.01,monthly,,8026.01,
41,2020-10-21,2020-11-04,7823.61,monthly,,7823.61,
285,2021-06-16,2021-06-30,2821.0,hourly,28.21,,100.0
438,2020-03-11,2020-03-25,9965.65,monthly,,9965.65,
132,2022-02-23,2022-03-09,6771.86,monthly,,6771.86,
386,2020-11-04,2020-11-18,5746.12,hourly,57.75,,99.5
63,2021-11-17,2021-11-24,1471.0,hourly,30.33,,48.5
242,2020-07-15,2020-07-29,6015.12,hourly,56.48,,106.5
100,2020-03-25,2020-04-08,7962.81,monthly,,7962.81,
149,2020-01-29,2020-02-12,4954.23,hourly,37.32,,132.75
486,2020-02-26,2020-03-11,1663.13,hourly,17.19,,96.75
461,2021-01-13,2021-01-27,7346.47,monthly,,7346.47,
191,2021-07-21,2021-07-28,4524.8,hourly,74.79,,60.5
172,2020-11-18,2020-11-25,2261.7,hourly,43.08,,52.5
278,2020-08-12,2020-08-26,9942.16,monthly,,9942.16,
122,2020-04-22,2020-05-06,8987.02,monthly,,8987.02,
337,2020-08-12,2020-08-26,9480.77,monthly,,9480.77,
190,2021-01-27,2021-02-10,2736.56,hourly,22.71,,120.5
209,2021-11-24,2021-12-01,1328.25,hourly,24.15,,55.0
161,2022-09-07,2022-09-21,4919.52,hourly,44.32,,111.0
107,2022-01-26,2022-02-09,9501.02,monthly,,9501.02,
444,2022-12-28,2023-01-11,9354.86,monthly,,9354.86,
132,2020-08-12,2020-08-26,6771.86,monthly,,6771.86,
30,2022-09-21,2022-10-05,10000.11,monthly,,10000.11,
429,2020-06-17,2020-07-01,4463.67,hourly,47.11,,94.75
251,2022-04-06,2022-04-20,9626.88,monthly,,9626.88,
36,2021-12-15,2021-12-29,6571.18,hourly,52.36,,125.5
361,2021-06-02,2021-06-16,9124.74,monthly,,9124.74,
359,2020-05-27,2020-06-03,8598.33,monthly,,8598.33,
460,2020-06-24,2020-07-01,9889.48,monthly,,9889.48,
257,2020-09-09,2020-09-16,2147.42,hourly,37.84,,56.75
68,2022-06-29,2022-07-06,9140.51,monthly,,9140.51,
121,2020-12-23,2020-12-30,3309.25,hourly,61.0,,54.25
284,2020-05-27,2020-06-03,2719.99,hourly,44.59,,61.0
315,2020-07-08,2020-07-15,3260.18,hourly,51.14,,63.75
87,2022-11-16,2022-11-30,7439.49,monthly,,7439.49,
9,2022-08-10,2022-08-24,2242.72,hourly,20.96,,107.0
489,2021-02-10,2021-02-24,9365.54,monthly,,9365.54,
334,2021-11-03,2021-11-17,10226.64,monthly,,10226.64,
156,2022-09-07,2022-09-21,5482.62,hourly,51.12,,107.25
27,2022-04-13,2022-04-20,3068.95,hourly,48.33,,63.5
393,2020-12-16,2020-12-30,8595.54,monthly,,8595.54,
274,2021-08-04,2021-08-11,9506.13,monthly,,9506.13,
488,2022-12-14,2022-12-28,10369.54,monthly,,10369.54,
185,2021-12-29,2022-01-12,9792.83,monthly,,9792.83,
395,2020-06-03,2020-06-17,3748.0,hourly,29.57,,126.75
412,2021-12-29,2022-01-12,6215.42,hourly,62.31,,99.75
130,2022-03-23,2022-04-06,3170.16,hourly,24.48,,129.5
333,2022-07-27,2022-08-10,9091.91,monthly,,9091.91,
45,2020-03-04,2020-03-11,9588.0,monthly,,9588.0,
235,2021-12-01,2021-12-08,2747.11,hourly,45.22,,60.75
38,2021-12-01,2021-12-15,4728.72,hourly,41.48,,114.0
386,2020-07-15,2020-07-29,7175.44,hourly,57.75,,124.25
486,2022-08-24,2022-09-07,2011.6,hourly,18.8,,107.0
202,2022-04-13,2022-04-20,11112.33,monthly,,11112.33,
45,2020-12-09,2020-12-16,9588.0,monthly,,9588.0,
347,2021-04-28,2021-05-05,606.51,hourly,13.33,,45.5
196,2020-01-15,2020-01-29,1530.1,hourly,12.29,,124.5
337,2020-09-09,2020-09-23,9480.77,monthly,,9480.77,
98,2020-09-09,2020-09-23,3415.93,hourly,29.01,,117.75
407,2021-08-25,2021-09-08,5510.55,hourly,60.89,,90.5
48,2020-07-15,2020-07-29,10798.1,monthly,,10798.1,
375,2022-12-14,2022-12-28,10199.78,monthly,,10199.78,
109,2022-06-15,2022-06-29,5614.95,hourly,45.1,,124.5
177,2021-11-03,2021-11-10,10451.46,monthly,,10451.46,
428,2020-09-16,2020-09-23,7443.56,monthly,,7443.56,
405,2020-12-02,2020-12-16,4499.35,hourly,42.05,,107.0
443,2020-12-30,2021-01-13,9567.73,monthly,,9567.73,
157,2020-07-29,2020-08-05,7436.85,monthly,,7436.85,
5,2020-10-21,2020-11-04,7588.72,monthly,,7588.72,
82,2020-11-11,2020-11-18,2517.86,hourly,37.58,,67.0
328,2021-04-21,2021-04-28,1694.79,hourly,27.67,,61.25
156,2021-06-30,2021-07-14,6505.02,hourly,51.12,,127.25
339,2020-04-22,2020-04-29,1319.7,hourly,21.2,,62.25
359,2022-03-30,2022-04-06,8598.33,monthly,,8598.33,
138,2021-01-20,2021-01-27,3618.16,hourly,57.66,,62.75
493,2022-06-01,2022-06-08,1040.27,hourly,21.23,,49.0
400,2020-10-07,2020-10-21,8641.56,monthly,,8641.56,
500,2022-01-26,2022-02-09,4285.4,hourly,34.77,,123.25
177,2021-08-25,2021-09-01,10451.46,monthly,,10451.46,
181,2021-03-24,2021-04-07,5982.22,hourly,52.94,,113.0
264,2021-03-24,2021-03-31,3355.29,hourly,52.02,,64.5
330,2021-11-17,2021-12-01,6125.28,hourly,52.13,,117.5
416,2021-06-16,2021-06-30,10887.82,monthly,,10887.82,
254,2021-06-23,2021-06-30,3236.67,hourly,31.81,,101.75
285,2021-04-21,2021-05-05,2604.8,hourly,25.6,,101.75
247,2020-12-30,2021-01-13,7335.77,monthly,,7335.77,
460,2022-08-10,2022-08-17,9889.48,monthly,,9889.48,
454,2020-03-11,2020-03-18,6963.11,monthly,,6963.11,
33,2020-12-16,2020-12-30,3673.99,hourly,32.37,,113.5
298,2020-11-11,2020-11-18,3090.29,hourly,47.18,,65.5
229,2020-10-07,2020-10-21,4434.75,hourly,40.5,,109.5
338,2021-08-18,2021-08-25,9820.97,monthly,,9820.97,
379,2021-12-01,2021-12-15,9151.11,monthly,,9151.11,
103,2020-12-23,2020-12-30,1995.55,hourly,37.3,,53.5
374,2021-08-18,2021-08-25,8236.41,monthly,,8236.41,
431,2021-10-27,2021-11-03,2380.79,hourly,38.87,,61.25
369,2020-08-26,2020-09-02,2395.68,hourly,38.64,,62.0
261,2022-06-29,2022-07-13,8093.55,monthly,,8093.55,
332,2022-03-16,2022-03-23,4113.66,hourly,75.48,,54.5
100,2021-10-20,2021-11-03,8617.25,monthly,,8617.25,
88,2020-09-09,2020-09-16,2345.31,hourly,47.38,,49.5
348,2021-03-17,2021-03-24,6356.69,monthly,,6356.69,
433,2022-02-09,2022-02-16,8492.45,monthly,,8492.45,
344,2021-06-09,2021-06-16,2690.51,hourly,50.29,,53.5
141,2021-06-02,2021-06-09,3260.88,hourly,51.76,,63.0
289,2020-01-15,2020-01-22,2076.9,hourly,38.64,,53.75
478,2020-05-06,2020-05-13,2658.83,hourly,45.45,,58.5
108,2020-06-17,2020-06-24,344.97,hourly,38.33,,9.0
328,2021-10-13,2021-10-20,200.61,hourly,27.67,,7.25
400,2022-02-09,2022-02-23,8641.56,monthly,,8641.56,
462,2021-12-29,2022-01-12,7000.39,hourly,55.78,,125.5
18,2022-10-26,2022-11-02,2063.75,hourly,31.75,,65.0
175,2021-10-06,2021-10-20,3567.23,hourly,30.62,,116.5
88,2020-04-08,2020-04-15,4370.81,hourly,47.38,,92.25
119,2022-02-09,2022-02-23,8678.42,monthly,,8678.42,
226,2020-06-17,2020-07-01,6663.43,hourly,56.71,,117.5
193,2020-11-04,2020-11-11,1917.45,hourly,42.61,,45.0
409,2021-09-22,2021-10-06,9039.77,monthly,,9039.77,
2,2022-01-12,2022-01-19,771.16,hourly,36.29,,21.25
498,2021-11-17,2021-12-01,9493.65,monthly,,9493.65,
381,2020-09-23,2020-10-07,11299.25,monthly,,11299.25,
261,2020-04-08,2020-04-22,8093.55,monthly,,8093.55,
452,2020-09-09,2020-09-16,2989.2,hourly,50.88,,58.75
338,2020-02-12,2020-02-19,9820.97,monthly,,9820.97,
387,2020-03-04,2020-03-11,2841.76,hourly,33.14,,85.75
288,2021-11-17,2021-12-01,3173.27,hourly,32.63,,97.25
298,2021-08-18,2021-08-25,3043.11,hourly,47.18,,64.5
290,2020-06-17,2020-06-24,2120.73,hourly,38.04,,55.75
411,2021-07-21,2021-07-28,3204.6,hourly,58.8,,54.5
251,2020-01-01,2020-01-15,9626.88,monthly,,9626.88,
388,2022-07-13,2022-07-27,2758.7,hourly,26.98,,102.25
200,2021-09-22,2021-09-29,2464.82,hourly,39.28,,62.75
468,2020-07-29,2020-08-12,6065.28,hourly,56.16,,108.0
79,2021-01-06,2021-01-13,6168.56,monthly,,6168.56,
190,2022-02-09,2022-02-23,2776.3,hourly,22.71,,122.25
494,2021-07-14,2021-07-28,8771.13,monthly,,8771.13,
393,2020-10-07,2020-10-21,8595.54,monthly,,8595.54,
308,2020-01-01,2020-01-15,4338.18,hourly,37.56,,115.5
230,2021-04-07,2021-04-21,1005.94,hourly,5.55,,181.25
336,2020-08-26,2020-09-09,10452.05,monthly,,10452.05,
319,2022-11-09,2022-11-16,9818.15,monthly,,9818.15,
271,2021-04-21,2021-04-28,2256.29,hourly,39.07,,57.75
191,2020-08-12,2020-08-19,3971.4,hourly,66.19,,60.0
254,2022-05-18,2022-05-25,1940.41,hourly,31.81,,61.0
273,2020-08-19,2020-08-26,1358.18,hourly,23.02,,59.0
261,2022-01-12,2022-01-26,8093.55,monthly,,8093.55,
109,2022-08-24,2022-09-07,5051.2,hourly,45.1,,112.0
292,2020-07-29,2020-08-12,5906.9,monthly,,5906.9,
131,2020-09-09,2020-09-23,9029.63,monthly,,9029.63,
116,2022-01-26,2022-02-02,2860.9,hourly,42.86,,66.75
182,2022-11-09,2022-11-16,2148.68,hourly,32.19,,66.75
412,2022-05-18,2022-06-01,7477.2,hourly,62.31,,120.0
333,2022-09-07,2022-09-21,9091.91,monthly,,9091.91,
402,2021-09-22,2021-10-06,2438.47,hourly,23.79,,102.5
31,2020-11-18,2020-12-02,5450.02,hourly,41.21,,132.25
464,2020-12-02,2020-12-16,5573.65,hourly,47.74,,116.75
30,2020-04-22,2020-05-06,9133.79,monthly,,9133.79,
14,2020-03-18,2020-03-25,2127.68,hourly,38.51,,55.25
37,2022-06-15,2022-06-29,6814.18,hourly,62.23,,109.5
202,2021-07-28,2021-08-04,11112.33,monthly,,11112.33,
317,2021-08-11,2021-08-25,2391.44,hourly,20.75,,115.25
117,2022-12-14,2022-12-28,12003.94,hourly,59.06,,203.25
232,2020-12-30,2021-01-06,413.7,hourly,7.88,,52.5
70,2022-02-23,2022-03-09,12038.5,monthly,,12038.5,
457,2022-10-19,2022-11-02,3071.88,hourly,25.44,,120.75
204,2022-11-30,2022-12-14,4267.9,hourly,34.84,,122.5
36,2020-01-01,2020-01-15,5246.35,hourly,48.69,,107.75
147,2021-07-14,2021-07-28,8022.83,monthly,,8022.83,
191,2020-11-04,2020-11-11,4434.73,hourly,66.19,,67.0
203,2020-10-14,2020-10-21,2062.49,hourly,45.58,,45.25
342,2020-01-15,2020-01-29,6211.66,hourly,55.71,,111.5
287,2021-07-07,2021-07-14,1567.8,hourly,31.2,,50.25
354,2021-10-20,2021-11-03,7977.49,monthly,,7977.49,
301,2022-03-23,2022-04-06,5656.14,hourly,44.89,,126.0
421,2022-12-28,2023-01-11,8550.81,monthly,,8550.81,
175,2020-06-17,2020-07-01,2919.75,hourly,27.48,,106.25
329,2022-11-30,2022-12-14,11734.62,monthly,,11734.62,
28,2020-02-12,2020-02-26,7319.22,monthly,,7319.22,
4,2021-06-16,2021-06-23,1658.8,hourly,28.6,,58.0
20,2020-01-29,2020-02-05,8646.73,monthly,,8646.73,
232,2020-11-04,2020-11-11,504.32,hourly,7.88,,64.0
237,2021-04-07,2021-04-21,8314.37,monthly,,8314.37,
397,2020-09-02,2020-09-09,1210.55,hourly,34.1,,35.5
386,2020-01-01,2020-01-15,7276.5,hourly,57.75,,126.0
456,2021-06-02,2021-06-16,10156.41,monthly,,10156.41,
211,2021-09-22,2021-10-06,5435.55,hourly,46.26,,117.5
204,2021-01-27,2021-02-10,3665.6,hourly,31.6,,116.0
395,2021-06-30,2021-07-14,3208.35,hourly,29.57,,108.5
122,2021-10-20,2021-11-03,8987.02,monthly,,8987.02,
83,2021-09-08,2021-09-22,9655.0,monthly,,9655.0,
342,2020-12-02,2020-12-16,7353.72,hourly,55.71,,132.0
177,2022-09-07,2022-09-14,10451.46,monthly,,10451.46,
432,2020-01-29,2020-02-12,9187.83,monthly,,9187.83,
461,2022-12-14,2022-12-28,7346.47,monthly,,7346.47,
272,2022-05-25,2022-06-01,9240.21,monthly,,9240.21,
177,2021-09-22,2021-09-29,10451.46,monthly,,10451.46,
340,2021-06-30,2021-07-14,4795.38,hourly,36.26,,132.25
2,2020-07-29,2020-08-05,1702.89,hourly,33.39,,51.0
351,2021-06-16,2021-06-30,11741.06,monthly,,11741.06,
217,2021-12-29,2022-01-05,2373.36,hourly,38.28,,62.0
389,2020-04-08,2020-04-22,6971.22,monthly,,6971.22,
60,2020-03-25,2020-04-08,7302.2,monthly,,7302.2,
72,2020-04-08,2020-04-22,7753.34,monthly,,7753.34,
69,2020-02-26,2020-03-04,239.94,hourly,7.74,,31.0
440,2022-10-05,2022-10-19,10996.35,monthly,,10996.35,
33,2021-12-29,2022-01-12,3649.72,hourly,32.37,,112.75
108,2020-01-15,2020-01-22,2050.65,hourly,38.33,,53.5
